,transaction_id,product_id,customer_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
0,1,2,2950,2017-02-25,False,Approved,Solex,Standard,medium,medium,71.49,53.62,41245
1,2,3,3120,2017-05-21,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41701
2,3,37,402,2017-10-16,False,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361
3,4,88,3135,2017-08-31,False,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,36145
4,5,78,787,2017-10-01,True,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,42226
5,6,25,2339,2017-03-08,True,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,39031
6,7,22,1542,2017-04-21,True,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,34165
7,8,15,2459,2017-07-15,False,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915
8,9,67,1305,2017-08-10,False,Approved,Solex,Standard,medium,large,1071.23,380.74,33455
9,10,12,3262,2017-08-30,True,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38216
10,11,5,1986,2017-01-17,False,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,40784
11,12,61,2783,2017-01-05,True,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,42172
12,13,35,1243,2017-02-26,True,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,34527
13,14,16,2717,2017-09-10,False,Approved,Norco Bicycles,Standard,high,small,1661.92,1479.11,34586
14,15,12,247,2017-06-11,False,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,38193
15,16,3,2961,2017-10-10,False,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,37873
16,17,79,2426,2017-04-03,False,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,38206
17,18,33,1842,2017-06-02,False,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888
18,19,54,2268,2017-04-06,True,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915
19,20,25,3002,2017-01-28,True,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,37337
20,21,27,1582,2017-10-09,False,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,36334
21,22,37,595,2017-06-29,True,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,36361
22,23,37,2001,2017-04-08,True,Approved,OHM Cycles,Standard,low,medium,1793.43,248.82,42145
23,24,82,515,2017-10-18,False,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,42404
24,25,89,2822,2017-06-11,False,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,34079
25,26,64,2596,2017-01-10,False,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,42145
26,27,64,2666,2017-04-11,True,Approved,Trek Bicycles,Standard,medium,large,1469.44,596.55,41047
27,28,19,76,2017-12-23,False,Approved,Trek Bicycles,Mountain,low,medium,574.64,459.71,42560
28,29,72,3368,2017-10-13,True,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,42710
29,30,91,1173,2017-03-15,False,Approved,WeareA2B,Standard,low,medium,642.31,513.85,41922
30,31,88,2810,2017-09-05,True,Approved,Norco Bicycles,Standard,medium,medium,1198.46,381.1,37539
31,32,1,3214,2017-02-18,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,42688
32,33,25,1272,2017-03-20,False,Approved,Giant Bicycles,Road,medium,medium,1538.99,829.65,42404
33,34,99,2003,2017-02-28,True,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,38991
34,35,0,2171,2017-08-20,False,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647
35,36,92,3356,2017-07-07,False,Approved,WeareA2B,Standard,medium,small,1415.01,1259.36,37874
36,37,14,1040,2017-01-09,False,Approved,Solex,Standard,high,large,1842.92,1105.75,34996
37,38,2,2916,2017-12-06,False,Approved,Solex,Standard,medium,medium,71.49,53.62,33549
38,39,12,427,2017-09-12,False,Approved,WeareA2B,Standard,medium,medium,1231.15,161.6,38693
39,40,0,2448,2017-11-28,True,Approved,Norco Bicycles,Road,medium,medium,544.05,376.84,38647
40,41,44,2570,2017-05-08,True,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,37668
41,42,79,3398,2017-05-14,False,Approved,Solex,Touring,medium,large,2083.94,675.03,41533
42,43,76,488,2017-03-17,False,Cancelled,WeareA2B,Standard,low,medium,642.31,513.85,41922
43,44,46,165,2017-12-22,False,Approved,Solex,Standard,low,medium,1289.85,74.51,37668
44,45,55,2787,2017-06-07,True,Approved,Trek Bicycles,Road,medium,large,1894.19,598.76,42172
45,46,66,3053,2017-06-20,False,Approved,Solex,Standard,medium,medium,1163.89,589.27,42560
46,47,35,475,2017-05-07,True,Approved,Trek Bicycles,Standard,low,medium,1057.51,154.4,34527
47,48,81,1305,2017-06-10,True,Approved,Solex,Standard,medium,medium,1151.96,649.49,41009
48,49,86,1251,2017-06-17,False,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38206
49,50,32,3103,2017-05-10,False,Approved,Giant Bicycles,Standard,medium,medium,642.7,211.37,37337
50,51,77,3108,2017-03-24,False,Approved,Norco Bicycles,Road,medium,large,1240.31,795.1,40553
51,52,96,857,2017-11-27,False,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,39427
52,53,6,3455,2017-12-21,True,Approved,OHM Cycles,Standard,high,medium,227.88,136.73,33549
53,54,27,2549,2017-02-09,True,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,34527
54,55,0,3140,2017-09-18,False,Approved,Norco Bicycles,Standard,low,medium,363.01,290.41,38482
55,56,47,3406,2017-11-14,False,Approved,Trek Bicycles,Road,low,small,1720.7,1531.42,35470
56,57,94,2294,2017-08-30,True,Approved,Giant Bicycles,Standard,medium,large,1635.3,993.66,41434
57,58,91,1031,2017-11-14,False,Approved,Solex,Standard,medium,medium,100.35,75.26,36367
58,59,93,993,2017-02-15,True,Approved,OHM Cycles,Standard,high,medium,1458.17,874.9,38750
59,60,60,3473,2017-12-18,False,Approved,Giant Bicycles,Standard,high,small,1977.36,1759.85,41848
60,61,0,1839,2017-02-24,False,Approved,OHM Cycles,Road,high,large,12.01,7.21,34244
61,62,33,1824,2017-12-18,True,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888
62,63,35,368,2017-12-17,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,42688
63,64,0,2000,2017-07-08,False,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,39031
64,65,28,825,2017-05-16,True,Approved,Norco Bicycles,Standard,medium,small,1216.14,1082.36,42696
65,66,86,3315,2017-02-23,True,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,36367
66,67,2,75,2017-07-03,True,Approved,Solex,Standard,medium,medium,71.49,53.62,41245
67,68,4,1498,2017-09-30,True,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,38258
68,69,38,1612,2017-10-21,True,Approved,Trek Bicycles,Standard,medium,large,2091.47,388.92,41167
69,70,27,2192,2017-05-06,True,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,36334
70,71,54,419,2017-01-03,False,Approved,WeareA2B,Standard,medium,medium,1292.84,13.44,39915
71,72,77,3307,2017-05-09,True,Approved,WeareA2B,Standard,medium,medium,1769.64,108.76,40672
72,73,22,2430,2017-07-23,False,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,34165
73,74,56,1506,2017-01-21,True,Approved,OHM Cycles,Standard,medium,medium,183.86,137.9,35707
74,75,58,1346,2017-06-20,False,Approved,OHM Cycles,Standard,medium,medium,912.52,141.4,42295
75,76,22,927,2017-03-10,False,Approved,WeareA2B,Standard,medium,medium,60.34,45.26,33552
76,77,50,763,2017-06-02,False,Approved,WeareA2B,Standard,medium,small,175.89,131.92,37668
77,78,80,2397,2017-11-07,False,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,36145
78,79,87,102,2017-09-12,True,Approved,Giant Bicycles,Standard,high,medium,1179.0,707.4,35667
79,80,15,2884,2017-12-16,False,Approved,Norco Bicycles,Standard,low,medium,958.74,748.9,38693
80,81,84,759,2017-10-07,True,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,33879
81,82,21,773,2017-04-27,True,Approved,Solex,Standard,medium,large,1071.23,380.74,40670
82,83,0,3398,2017-04-01,True,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,37626
83,84,33,3297,2017-11-02,True,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888
84,85,84,2434,2017-02-13,True,Approved,Trek Bicycles,Road,medium,medium,290.62,215.14,38339
85,86,1,1861,2017-07-19,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,38258
86,87,27,1233,2017-05-23,False,Approved,Trek Bicycles,Standard,medium,medium,499.53,388.72,33455
87,88,31,1390,2017-08-06,False,Approved,WeareA2B,Standard,medium,medium,752.64,205.36,34079
88,89,0,2682,2017-04-04,True,Approved,OHM Cycles,Road,high,large,12.01,7.21,40303
89,90,62,439,2017-08-15,True,Approved,Solex,Standard,medium,medium,478.16,298.72,34143
90,91,17,1579,2017-04-15,True,Approved,Solex,Standard,high,medium,1024.66,614.8,35160
91,92,73,2984,2017-07-25,True,Approved,Solex,Standard,medium,medium,1945.43,333.18,36668
92,93,33,3470,2017-11-28,True,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,36498
93,94,86,1,2017-12-23,False,Approved,OHM Cycles,Standard,medium,medium,235.63,125.07,38482
94,95,45,757,2017-02-26,False,Approved,Solex,Standard,medium,medium,441.49,84.99,34071
95,96,1,1778,2017-02-21,False,Approved,Giant Bicycles,Standard,medium,medium,1403.5,954.82,40649
96,97,80,211,2017-05-31,True,Approved,OHM Cycles,Touring,low,medium,1073.07,933.84,38339
97,98,49,333,2017-06-23,,Approved,Trek Bicycles,Road,medium,medium,533.51,400.13,37823
98,99,95,32,2017-03-26,False,Approved,Giant Bicycles,Standard,medium,large,569.56,528.43,37874
99,100,0,119,2017-07-31,False,Approved,Solex,Standard,medium,medium,478.16,298.72,36146
100,101,18,2347,2017-07-27,False,Approved,Norco Bicycles,Standard,high,medium,1148.64,689.18,42226
101,102,4,2353,2017-04-14,False,Approved,Giant Bicycles,Standard,high,medium,1129.13,677.48,40649
102,103,33,788,2017-11-12,False,Approved,Giant Bicycles,Standard,medium,small,1311.44,1167.18,33888
103,104,78,1468,2017-09-12,False,Approved,Giant Bicycles,Standard,medium,large,1765.3,709.48,38193
104,105,89,821,2017-10-26,False,Approved,WeareA2B,Touring,medium,large,1362.99,57.74,41434
105,106,70,2489,2017-02-15,False,Approved,Trek Bicycles,Standard,high,medium,495.72,297.43,42105
106,107,79,2710,2017-12-22,False,Approved,Norco Bicycles,Standard,medium,medium,1555.58,818.01,37873
107,108,26,947,2017-10-11,True,Approved,WeareA2B,Standard,medium,medium,1992.93,762.63,34115
108,109,39,1335,2017-03-27,True,Approved,Giant Bicycles,Standard,medium,large,1812.75,582.48,38991
109,110,36,1076,2017-11-04,False,Approved,Solex,Standard,low,medium,945.04,507.58,35052
110,111,0,3320,2017-06-11,True,Approved,OHM Cycles,Standard,low,medium,71.16,56.93,42172
111,112,84,779,2017-10-09,False,Approved,Giant Bicycles,Road,medium,medium,792.9,594.68,33879
112,113,98,3296,2017-06-07,True,Approved,Trek Bicycles,Standard,high,medium,358.39,215.03,33364
113,114,75,455,2017-10-24,True,Approved,Giant Bicycles,Touring,medium,large,1873.97,863.95,37873
114,115,76,1779,2017-05-01,False,Approved,WeareA2B,Standard,low,medium,642.31,513.85,38482
115,116,72,2703,2017-11-21,True,Approved,Norco Bicycles,Standard,medium,medium,360.4,270.3,40553
116,117,42,806,2017-03-24,False,Approved,OHM Cycles,Road,medium,small,1810.0,1610.9,34071
